"COSTAMAGNA, SANTIAGO",,,,,
COTAGAITA,,,,,
COTOCOLLAO,,,,,
"COUTO, MIGUEL",,,,,
"COUTURE, EDUARDO J.",,,,,
CRAIG,,,,,
CRAINQUEVILLE,,,,,
CRAMER,,,,,
CRANWELL,,,,,
CRESPO,,,,,
CRUCERO GRAL. BELGRANO,,,,,
CRUZ DEL EJE,,,,,
CRUZ DEL SUD,,,,,
"CRUZ, JUANA INES DE LA, SOR",,,,,
"CRUZ, OSVALDO",,,,,
CUBA,,,,,
"CUBAS, JOSE",,,,,
CUCHA CUCHA,,,,,
CUENCA,,,,,
"CUERVO, RUFINO J.",,,,,
CULLEN,,,,,
CULPINA,,,,,
"CUNEO, FRANCISCO",,,,,
"CUNNINGHAME, GRAHAM, ROBERTO",,,,,
CURA BROCHERO,,,,,
CURAPALIGUE,,,,,
"CURATELLA MANES, PABLO",,,,,
"CURIE, MARIA",,,,,
CURITYBA,,,,,
CURUPAYTI,,,,,
CURUZU CUATIA,,,,,
"CUTER, LUISITO",,,,,
CUYO,,,,,
CUZCO,,,,,
"DA VINCI, LEONARDO",,,,,
DAGUERRE,,,,,
"DAMIANOVICH, ELEODORO, Dr.",,,,,
"D'AMICIS, EDMUNDO",,,,,
DANEL,,,,,
"DANTAS, JULIO S.",,,,,
DANTE,,,,,
DARACT,,,,,
"DARQUIER, JUAN",,,,,
DARREGUEYRA,,,,,
DARWIN,,,,,
DAVILA,,,,,
DE LA BARRA EMMA (via publica),,,,,
DE LA ECONOMIA,,,,,
DE LA INDUSTRIA,,,,,
DE LA MISERICORDIA,,,,,
"DE LA ROSA, JOSE I., DR.",,,,,
DE LA TECNICA,,,,,
"DE LA TORRE, LISANDRO",,,,,
DE LAS ARTES,,,,,
DE LAS CIENCIAS,,,,,
DE LAS GARANTIAS,,,,,
DE LOS CONSTITUYENTES,,,,,
DE LOS CORRALES,,,,,
DE LOS INCAS,,,,,
DE LOS INMIGRANTES,,,,,
DE LOS ITALIANOS,,,,,
DE LOS OMBUES,,,,,
DE MAYO,,,,,
"DE MOUSSY, MARTIN",,,,,
"DE SIMONE, VICENTE",,,,,
"DEALESSI, PIERINA",,,,,
DEAN FUNES,,,,,
"DEDICO, DOMINGO, Agente",,,,,
DEFENSA,,,,,
DEHEZA,,,,,
DEKAY,,,,,
DEL BAÑADO,,,,,
DEL BUEN ORDEN,,,,,
DEL CAMPO,,,,,
DEL CARMEN,,,,,
DEL COLEGIO,,,,,
DEL COMERCIO,,,,,
DEL FOMENTISTA,,,,,
DEL LIBERTADOR,,,,,
DEL PARQUE,,,,,
DEL PROGRESO,,,,,
DEL SIGNO,,,,,
DEL TEMPLE,,,,,
DEL TIGRE,,,,,
DELAMBRE,,,,,
DELGADO,,,,,
"DELLA PAOLERA, CARLOS M.",,,,,
"DELLEPIANE, LUIS",,,,,
"DELLEPIANE, LUIS, TTE. GRAL.",,,,,
DEMARIA,,,,,
"DEMARIA, ISIDORO",,,,,
"DEMARIA, MARIANO",,,,,
DERQUI,,,,,
DESAGUADERO,,,,,
"DESCALZI, NICOLAS",,,,,
DESEADO,,,,,
"D'ESPOSITO, ARNALDO",,,,,
"DEVOTO, FORTUNATO",,,,,
DIAMANTE,,,,,
DIAZ COLODRERO,,,,,
DIAZ VELEZ,,,,,
"DIAZ, ANA",,,,,
"DIAZ, AVELINO",,,,,
"DIAZ, CESAR, GRAL.",,,,,
"DIAZ, CNEL.",,,,,
"DICKMAN, ADOLFO, Dr.",,,,,
"DIEZ DE MEDINA, CLEMENTE",,,,,
DINAMARCA,,,,,
DIRECTORIO,,,,,
"DISCEPOLO, ENRIQUE SANTOS",,,,,
DOBLAS,,,,,
DOLORES,,,,,
DON ANSELMO AIETA,,,,,
DON BOSCO,,,,,
DON CRISTOBAL,,,,,
DON PEDRO DE MENDOZA,,,,,
DON SEGUNDO SOMBRA,,,,,
DONADO,,,,,
DONIZETTI,,,,,
DORREGO,,,,,
"DRAGO, LUIS MARIA",,,,,
DRAGONES,,,,,
"DRESCO, ARTURO ANTONIO",,,,,
DRUMOND,,,,,
"DUARTE, JUAN PABLO",,,,,
DUBLIN,,,,,
"DUMAS, ALEJANDRO",,,,,
"DUMAS, VITO",,,,,
"DUMONT, SANTOS",,,,,
DUPUY,,,,,
"ECHAGUE, CARLOS, ING.",,,,,
"ECHAGUE, PEDRO",,,,,
ECHAURI,,,,,
ECHEANDIA,,,,,
ECHENAGUCIA,,,,,
"ECHEVARRIA, VICENTE A. DE",,,,,
ECHEVERRIA,,,,,
ECUADOR,,,,,
"EDISON, TOMAS A.",,,,,
"EGUIA, MANUEL",,,,,
"EINSTEIN, ALBERTO",,,,,
EL ALFABETO,,,,,
EL ARAUCANO,,,,,
EL ARTESANO,,,,,
EL CARDENAL,,,,,
EL CARPINTERO,,,,,
EL CEIBO,,,,,
EL CERRO,,,,,
EL CHACHO,,,,,
EL CHASQUE,,,,,
EL CRIOLLO,,,,,
EL DELTA,,,,,
EL DOMADOR,,,,,
EL FOGON,,,,,
EL FUERTE,,,,,
EL GAUCHO,,,,,
EL HORNERO,,,,,
EL LAZO,,,,,
EL LITORAL,,,,,
EL MAESTRO,,,,,
EL METODO,,,,,
EL MIRASOL,,,,,
EL MISIONERO,,,,,
EL NANDU,,,,,
EL NENE,,,,,
EL PAMPERO,,,,,
EL PEREGRINO,,,,,
EL PROFETA DE LA PAMPA,,,,,
EL QUIJOTE,,,,,
EL RANCHO,,,,,
EL RASTREADOR,,,,,
EL RECADO,,,,,
EL REFRAN,,,,,
EL SALVADOR,,,,,
EL SAUCE,,,,,
EL SERENO,,,,,
EL TALA,,,,,
EL TREBOL,,,,,
EL TROVADOR,,,,,
EL ZONDA,,,,,
EL ZORZAL,,,,,
ELCANO,,,,,
ELIA,,,,,
"ELIZALDE, RUFINO de",,,,,
EMPEDRADO,,,,,
"ENCINA, CARLOS",,,,,
ENSENADA,,,,,
ENTRE RIOS,,,,,
EPECUEN,,,,,
EPUYEN,,,,,
ERASMO,,,,,
ERCILLA,,,,,
EREZCANO,,,,,
ESCALADA,,,,,
"ESCALADA DE SAN MARTIN, R.",,,,,
"ESCALADA, CELEDONIO Cmte.",,,,,
ESCOBAR,,,,,
ESCRIBANO,,,,,
ESMERALDA,,,,,
ESNAOLA,,,,,
ESPAÑA,,,,,
ESPARTACO,,,,,
ESPARZA,,,,,
"ESPEJO, GERONIMO, GRAL.",,,,,
ESPINILLO,,,,,
ESPINOSA,,,,,
ESPRONCEDA,,,,,
ESQUEL,,,,,
ESQUINA,,,,,
